checkout_id,tenant_id,timestamp,product_id,variant_meta_id,product_name,sku,variant_meta_properties,price,quantity,vendor
46671320809813,missusstore,2025-02-22 08:57:06+00:00,9592205082965,49597510680917,BIQUÍNI COPACABANA S2 Top - M,SS24BK15S2M-T,,15.0,1,Missus
46671320809813,missusstore,2025-02-22 08:57:06+00:00,9592205541717,49710351778133,BIQUÍNI COPACABANA S2 Cueca - L / Tanga,SS24BK15S2L-CT,,15.0,1,Missus
46699911151957,missusstore,2025-02-27 11:50:21+00:00,9592205082965,49597510713685,BIQUÍNI COPACABANA S2 Top - L,SS24BK15S2L-T,,15.0,1,Missus
46699911151957,missusstore,2025-02-27 11:50:21+00:00,9592205541717,49710351778133,BIQUÍNI COPACABANA S2 Cueca - L / Tanga,SS24BK15S2L-CT,,15.0,1,Missus
46699911151957,missusstore,2025-02-27 11:50:21+00:00,8994389721429,47952055730517,VESTIDO PONTA ACAIA - CASTANHO,SS24EW1BROWNU,,33.0,1,Missus
46705835770197,missusstore,2025-02-28 12:51:10+00:00,9592271765845,49597785243989,BIQUÍNI MARAMBAIA S2 Top - XL,SS24BK5S2XL-T,,15.0,1,Missus
46705835770197,missusstore,2025-02-28 12:51:10+00:00,9592268849493,49705734144341,BIQUÍNI MARAMBAIA S2 Cueca - S / Tanga,SS24BK5S2S-CT,,15.0,1,Missus
46705960616277,missusstore,2025-02-28 13:14:45+00:00,9592205082965,49597510713685,BIQUÍNI COPACABANA S2 Top - L,SS24BK15S2L-T,,15.0,1,Missus
46705960616277,missusstore,2025-02-28 13:14:45+00:00,9592205541717,49710351778133,BIQUÍNI COPACABANA S2 Cueca - L / Tanga,SS24BK15S2L-CT,,15.0,1,Missus
46738825445717,missusstore,2025-03-06 14:07:58+00:00,9790004298069,50282791010645,BIQUÍNI HAWI S2 Top - S,SS25BK19S2S-T,,32.0,1,Missus
46738825445717,missusstore,2025-03-06 14:07:58+00:00,9790005018965,50282793107797,BIQUÍNI HAWI Cueca - S / Tanga,SS25BK19S2S-CT,,32.0,1,Missus
46739060916565,missusstore,2025-03-06 14:53:13+00:00,9789954949461,50282688414037,BIQUÍNI LANIKAI S2 Top - S,SS25BK15S2S-T,,41.0,1,Missus
46739060916565,missusstore,2025-03-06 14:53:13+00:00,9789955735893,50282690117973,BIQUÍNI LANIKAI S2 Cueca - M / Tanga,SS25BK15S2M-CT,,41.0,1,Missus
46741429059925,missusstore,2025-03-06 22:52:49+00:00,9790002233685,50282786193749,BIQUÍNI HAWI S1 Top - S,SS25BK19S1S-T,,32.0,1,Missus
46741429059925,missusstore,2025-03-06 22:52:49+00:00,9790003118421,50282788028757,BIQUÍNI HAWI S1 Cueca - S / Tanga,SS25BK19S1S-CT,,32.0,1,Missus
46739004555605,missusstore,2025-03-06 15:06:43+00:00,9787383316821,50273537196373,BIQUÍNI KAILUA S3 Top - S,SS25BK2S3S-T,,39.0,1,Missus
46739004555605,missusstore,2025-03-06 15:06:43+00:00,9787385217365,50273544569173,BIQUÍNI KAILUA S3 Cueca - M / Tanga,SS25BK2S3M-CT,,39.0,1,Missus
46741204730197,missusstore,2025-03-06 21:56:04+00:00,9787392590165,50273582776661,BIQUÍNI KAILUA S4 Top - M,SS25BK2S4M-T,,39.0,1,Missus
46741204730197,missusstore,2025-03-06 21:56:04+00:00,9787394589013,50273605550421,BIQUÍNI KAILUA S4 Cueca - M / Tanga,SS25BK2S4M-CT,,39.0,1,Missus
46740122927445,missusstore,2025-03-06 20:30:31+00:00,9790002233685,50282786193749,BIQUÍNI HAWI S1 Top - S,SS25BK19S1S-T,,32.0,1,Missus
46740122927445,missusstore,2025-03-06 20:30:31+00:00,9790003118421,50282787995989,BIQUÍNI HAWI S1 Cueca - S / Regular,SS25BK19S1S-CR,,32.0,1,Missus
46565648433493,missusstore,2025-03-06 14:01:51+00:00,9790002233685,50282786160981,BIQUÍNI HAWI S1 Top - XS,SS25BK19S1XS-T,,33.0,1,Missus
46565648433493,missusstore,2025-03-06 14:01:51+00:00,9790003118421,50282788028757,BIQUÍNI HAWI S1 Cueca - S / Tanga,SS25BK19S1S-CT,,33.0,1,Missus
46739871334741,missusstore,2025-03-06 17:36:47+00:00,9618042847573,49666001043797,BLUE TRACKSUIT STRAIGHT SWEATPANTS - XS/S,TSBLUESTPANTSXS/S,,30.0,1,missusstore
46739871334741,missusstore,2025-03-06 17:36:47+00:00,9617334829397,49663559565653,BLUE TRACKSUIT T-SHIRT - XS/S,TSBLUET-SHIRTXS/S,,18.0,1,missusstore
46739871334741,missusstore,2025-03-06 17:36:47+00:00,9789954949461,50282688381269,BIQUÍNI LANIKAI S2 Top - XS,SS25BK15S2XS-T,,41.0,1,Missus
46739871334741,missusstore,2025-03-06 17:36:47+00:00,9789955735893,50282689986901,BIQUÍNI LANIKAI S2 Cueca - XS / Tanga,SS25BK15S2XS-CT,,41.0,1,Missus
46739149128021,missusstore,2025-03-06 15:12:31+00:00,9789938368853,50282649715029,BIQUÍNI MAUI S2 Top - S,SS25BK13S2S-T,,39.0,1,Missus
46739149128021,missusstore,2025-03-06 15:12:31+00:00,9789938991445,50282650763605,BIQUÍNI MAUI S2 Cueca - S / Regular,SS25BK13S2S-CR,,39.0,1,Missus
46739149128021,missusstore,2025-03-06 15:12:31+00:00,9790002233685,50282786193749,BIQUÍNI HAWI S1 Top - S,SS25BK19S1S-T,,32.0,1,Missus
46739149128021,missusstore,2025-03-06 15:12:31+00:00,9790003118421,50282787995989,BIQUÍNI HAWI S1 Cueca - S / Regular,SS25BK19S1S-CR,,32.0,1,Missus
46739308577109,missusstore,2025-03-06 15:44:30+00:00,9789936238933,50282642047317,BIQUÍNI MAUI S1 Top - S,SS25BK13S1S-T,,39.0,1,Missus
46739308577109,missusstore,2025-03-06 15:44:30+00:00,9789937123669,50282645291349,BIQUÍNI MAUI S1 Cueca - S / Regular,SS25BK13S1S-CR,,39.0,1,Missus
46738775802197,missusstore,2025-03-06 14:09:36+00:00,9788926525781,50279476625749,BIQUÍNI KAHALA S2 Top - L,SS25BK8S2L-T,,39.0,1,Missus
46738775802197,missusstore,2025-03-06 14:09:36+00:00,9788969058645,50279529709909,BIQUÍNI KAHALA S2 Cueca - L / Regular,SS25BK8S2L-CR,,39.0,1,Missus
46740260094293,missusstore,2025-03-06 19:11:51+00:00,9789954949461,50282688446805,BIQUÍNI LANIKAI S2 Top - M,SS25BK15S2M-T,,41.0,1,Missus
46740260094293,missusstore,2025-03-06 19:11:51+00:00,9789955735893,50282689986901,BIQUÍNI LANIKAI S2 Cueca - XS / Tanga,SS25BK15S2XS-CT,,41.0,1,Missus
46740112015701,missusstore,2025-03-06 18:26:44+00:00,9823036408149,50396951937365,WHITE HULA CROP TOP - S/M,SS25WHITECROPTOS/M,,34.0,1,Missus
46740112015701,missusstore,2025-03-06 18:26:44+00:00,9790006460757,50282798383445,BIQUÍNI HAWI S3 Top - M,SS25BK19S3M-T,,33.0,1,Missus
46740112015701,missusstore,2025-03-06 18:26:44+00:00,9790007247189,50282800021845,BIQUÍNI HAWI S3 Cueca - M / Regular,SS25BK19S3M-CR,,33.0,1,Missus
46740112015701,missusstore,2025-03-06 18:26:44+00:00,9790004298069,50282791043413,BIQUÍNI HAWI S2 Top - M,SS25BK19S2M-T,,33.0,1,Missus
46740112015701,missusstore,2025-03-06 18:26:44+00:00,9790005018965,50282793140565,BIQUÍNI HAWI Cueca - M / Regular,SS25BK19S2M-CR,,33.0,1,Missus
46740112015701,missusstore,2025-03-06 18:26:44+00:00,9790002233685,50282786226517,BIQUÍNI HAWI S1 Top - M,SS25BK19S1M-T,,33.0,1,Missus
46740112015701,missusstore,2025-03-06 18:26:44+00:00,9790003118421,50282788061525,BIQUÍNI HAWI S1 Cueca - M / Regular,SS25BK19S1M-CR,,33.0,1,Missus
46740112015701,missusstore,2025-03-06 18:26:44+00:00,9788874129749,50279214055765,BIQUÍNI OAHU S3 Top - M,SS25BK6S3M-T,,40.0,1,Missus
46740112015701,missusstore,2025-03-06 18:26:44+00:00,9788875768149,50279219790165,BIQUÍNI OAHU S3 Cueca - M / Regular,SS25BK6S3M-CR,,40.0,1,Missus
46738878693717,missusstore,2025-03-06 14:20:22+00:00,9790002233685,50282786160981,BIQUÍNI HAWI S1 Top - XS,SS25BK19S1XS-T,,32.0,1,Missus
46738878693717,missusstore,2025-03-06 14:20:22+00:00,9790003118421,50282787930453,BIQUÍNI HAWI S1 Cueca - XS / Regular,SS25BK19S1XS-CR,,32.0,1,Missus
46738878693717,missusstore,2025-03-06 14:20:22+00:00,9789954949461,50282688381269,BIQUÍNI LANIKAI S2 Top - XS,SS25BK15S2XS-T,,41.0,1,Missus
46738878693717,missusstore,2025-03-06 14:20:22+00:00,9789955735893,50282689954133,BIQUÍNI LANIKAI S2 Cueca - XS / Regular,SS25BK15S2XS-CR,,41.0,1,Missus
46740060078421,missusstore,2025-03-06 18:14:30+00:00,9788805775701,50279015776597,BIQUÍNI KAUAI S1 Top - XS,SS25BK5S1XS-T,,41.0,1,Missus
46740060078421,missusstore,2025-03-06 18:14:30+00:00,9788807676245,50279023608149,BIQUÍNI KAUAI S1 Cueca - XS / Regular,SS25BK5S1XS-CR,,41.0,1,Missus
46740060078421,missusstore,2025-03-06 18:14:30+00:00,9790004298069,50282790977877,BIQUÍNI HAWI S2 Top - XS,SS25BK19S2XS-T,,32.0,1,Missus
46740060078421,missusstore,2025-03-06 18:14:30+00:00,9790005018965,50282793009493,BIQUÍNI HAWI Cueca - XS / Regular,SS25BK19S2XS-CR,,32.0,1,Missus
46741290647893,missusstore,2025-03-07 17:28:26+00:00,9822217634133,50396913926485,LAVENDER PALM SPRINGS SKIRT - S/M,SS25LAVENDSKIRTS/M,,45.0,1,Missus
46741290647893,missusstore,2025-03-07 17:28:26+00:00,9822214062421,50396837314901,LAVENDER PALM SPRINGS CROP TOP - S/M,SS25LAVECROPTOPS/M,,30.0,1,Missus
46741290647893,missusstore,2025-03-07 17:28:26+00:00,9822237720917,50396977496405,WHITE HULA TROUSERS - S/M,SS25WHITETROUSES/M,,50.0,1,Missus
46741290647893,missusstore,2025-03-07 17:28:26+00:00,9823036408149,50396951937365,WHITE HULA CROP TOP - S/M,SS25WHITECROPTOS/M,,33.0,1,Missus
46745115197781,missusstore,2025-03-07 17:15:03+00:00,9788874129749,50279214088533,BIQUÍNI OAHU S3 Top - L,SS25BK6S3L-T,,39.0,1,Missus
46745115197781,missusstore,2025-03-07 17:15:03+00:00,9788875768149,50279219691861,BIQUÍNI OAHU S3 Cueca - XS / Tanga,SS25BK6S3XS-CT,,39.0,1,Missus
46746669875541,missusstore,2025-03-07 23:44:03+00:00,9790024712533,50282877256021,TRIQUÍNI MOLOKAI S1 - S,SS25TQ20S1S,,86.0,1,Missus
46746669875541,missusstore,2025-03-07 23:44:03+00:00,9789936238933,50282642047317,BIQUÍNI MAUI S1 Top - S,SS25BK13S1S-T,,39.0,1,Missus
46746669875541,missusstore,2025-03-07 23:44:03+00:00,9789937123669,50282645324117,BIQUÍNI MAUI S1 Cueca - S / Tanga,SS25BK13S1S-CT,,39.0,1,Missus
46746669875541,missusstore,2025-03-07 23:44:03+00:00,9789954949461,50282688414037,BIQUÍNI LANIKAI S2 Top - S,SS25BK15S2S-T,,41.0,1,Missus
46746669875541,missusstore,2025-03-07 23:44:03+00:00,9789955735893,50282690052437,BIQUÍNI LANIKAI S2 Cueca - S / Tanga,SS25BK15S2S-CT,,41.0,1,Missus
46746669875541,missusstore,2025-03-07 23:44:03+00:00,9789978476885,50282727047509,BIQUÍNI LANI S1 Top - S,SS25BK16S1S-T,,41.0,1,Missus
46746669875541,missusstore,2025-03-07 23:44:03+00:00,9789984244053,50282734911829,BIQUÍNI LANI S1 Cueca - S / Tanga,SS25BK16S1S-CT,,41.0,1,Missus
46746669875541,missusstore,2025-03-07 23:44:03+00:00,9789938368853,50282649715029,BIQUÍNI MAUI S2 Top - S,SS25BK13S2S-T,,39.0,1,Missus
46746669875541,missusstore,2025-03-07 23:44:03+00:00,9789938991445,50282650796373,BIQUÍNI MAUI S2 Cueca - S / Tanga,SS25BK13S2S-CT,,39.0,1,Missus
46746746519893,missusstore,2025-03-08 00:24:14+00:00,9790016454997,50282830332245,BIQUÍNI HAWI S7 Top - S,SS25BK19S7S-T,,32.0,1,Missus
46746746519893,missusstore,2025-03-08 00:24:14+00:00,9790017208661,50282845110613,BIQUÍNI HAWI S7 Cueca - M / Tanga,SS25BK19S7M-CT,,32.0,1,Missus
46742696853845,missusstore,2025-03-11 13:11:14+00:00,9788901425493,50279412367701,BIQUÍNI WAIKIKI S6 Cueca - XS / Tanga,SS25BK7S6XS-CT,,20.0,1,Missus
46742696853845,missusstore,2025-03-11 13:11:14+00:00,9788899459413,50279378157909,BIQUÍNI WAIKIKI S6 Top - XS,SS25BK7S6XS-T,,20.0,1,Missus
46765179044181,missusstore,2025-03-11 11:42:17+00:00,9789954949461,50282688446805,BIQUÍNI LANIKAI S2 Top - M,SS25BK15S2M-T,,41.0,1,Missus
46765179044181,missusstore,2025-03-11 11:42:17+00:00,9789955735893,50282689986901,BIQUÍNI LANIKAI S2 Cueca - XS / Tanga,SS25BK15S2XS-CT,,41.0,1,Missus
46773908078933,missusstore,2025-03-12 22:53:27+00:00,9586057576789,49578870997333,BIQUÍNI BENISSA S3 Top - S,SS24BK3S3S-T,,13.0,1,Missus
46773908078933,missusstore,2025-03-12 22:53:27+00:00,9586058494293,49578874241365,BIQUÍNI BENISSA S3 Regular - S,SS24BK3S3S-C,,13.0,1,Missus
46773908078933,missusstore,2025-03-12 22:53:27+00:00,9503591104853,49307679326549,BIQUÍNI NITERÓI S2 Top - S,SS24BK10S2S-T,,13.0,1,Missus
46773908078933,missusstore,2025-03-12 22:53:27+00:00,9503592612181,49307682308437,BIQUÍNI NITERÓI S2 Regular - S,SS24BK10S2S-C,,13.0,1,Missus
46781492658517,missusstore,2025-03-14 08:59:19+00:00,9787369881941,50273475658069,BIQUÍNI KAILUA S2 Top - S,SS25BK2S2S-T,,39.0,1,Missus
46781492658517,missusstore,2025-03-14 08:59:19+00:00,9787370373461,50273477722453,BIQUÍNI KAILUA S2 Cueca - XS / Tanga,SS25BK2S2XS-CT,,39.0,1,Missus
46787430711637,missusstore,2025-03-15 12:32:05+00:00,9789954949461,50282688414037,BIQUÍNI LANIKAI S2 Top - S,SS25BK15S2S-T,,41.0,1,Missus
46787430711637,missusstore,2025-03-15 12:32:05+00:00,9789955735893,50282690052437,BIQUÍNI LANIKAI S2 Cueca - S / Tanga,SS25BK15S2S-CT,,41.0,1,Missus
46787830874453,missusstore,2025-03-15 13:52:32+00:00,9790002233685,50282786226517,BIQUÍNI HAWI S1 Top - M,SS25BK19S1M-T,,32.0,1,Missus
46787830874453,missusstore,2025-03-15 13:52:32+00:00,9790003118421,50282788028757,BIQUÍNI HAWI S1 Cueca - S / Tanga,SS25BK19S1S-CT,,32.0,1,Missus
46785497137493,missusstore,2025-03-15 01:26:29+00:00,9508296982869,49334420242773,BONÉ MISSUS S5,SS25BONEMISSUSS5,,27.0,1,Missus
46785497137493,missusstore,2025-03-15 01:26:29+00:00,9508296556885,49334416867669,BONÉ MISSUS S4,SS25BONEMISSUSS4,,27.0,1,Missus
46785497137493,missusstore,2025-03-15 01:26:29+00:00,9790024712533,50282877223253,TRIQUÍNI MOLOKAI S1 - XS,SS25TQ20S1XS,,86.0,1,Missus
46785497137493,missusstore,2025-03-15 01:26:29+00:00,9789954949461,50282688381269,BIQUÍNI LANIKAI S2 Top - XS,SS25BK15S2XS-T,,41.0,1,Missus
46785497137493,missusstore,2025-03-15 01:26:29+00:00,9789955735893,50282689954133,BIQUÍNI LANIKAI S2 Cueca - XS / Regular,SS25BK15S2XS-CR,,41.0,1,Missus
46036040024405,missusstore,2025-03-16 23:28:56+00:00,9588917207381,49584923181397,BIQUÍNI ARPOADOR S2 Top - XS,SS24BK14S2XS-T,,13.0,1,Missus
46036040024405,missusstore,2025-03-16 23:28:56+00:00,9588919664981,49584928391509,BIQUÍNI ARPOADOR S2 Regular - XS,SS24BK14S2XS-C,,13.0,1,Missus
46777586811221,missusstore,2025-03-16 17:26:17+00:00,9788926525781,50279476560213,BIQUÍNI KAHALA S2 Top - S,SS25BK8S2S-T,,39.0,1,Missus
46777586811221,missusstore,2025-03-16 17:26:17+00:00,9788969058645,50279529578837,BIQUÍNI KAHALA S2 Cueca - S / Regular,SS25BK8S2S-CR,,39.0,1,Missus
46798280950101,missusstore,2025-03-17 12:02:10+00:00,9618038751573,49665989738837,GREEN TRACKSUIT CREWNECK SWEATSHIRT - S/M,TSGREENSWEATS/M,,36.0,1,missusstore
46798280950101,missusstore,2025-03-17 12:02:10+00:00,9618043732309,49666002190677,GREEN TRACKSUIT STRAIGHT SWEATPANTS - S/M,TSGREENSTPANTSS/M,,30.0,1,missusstore
